text,label
" Single player: lots of fun. As Paul said, same as COD but prettier. Multiplayer: awkward. The auto-regenerating health is a genuinely unattractive feature. Even though it's far more detailed and aesthetically refined than COD, the gameplay feels a bit....clunky. Even playing on a loaded server with 30 other people, the game action just isn't as HOT as COD and COD UO. Lack of new… Expand",analysis
" Loved the single player. Multiplayer is a joke, if you play a killcam server you will see that there is a huge time differential between what you and your oponent see as real time, skill takes a backseat to ping as you can unload a clip into a person and they'll one shot you before you blink. Been playing CoD for a year and was really hoping that would improve in 2, almost seems worse.",analysis
 let me make something abundently clear: i wish the devolpers would STOP making world war 2 games! i get it all ready ive played through it only a bazillion times i mean come on do something original make your own war wh not!!? over all an okay game that would be beter if the subject matter were more original.,reaction
" Everything I wanted in the original COD and more. Many on here bash the the regenerative health, but I see this as a step forward. While in the easier modes you may be able to be shot a bunch of times, that is why it is the easy mode. In veteran only one shot takes you to the bloody find cover screen, or your dead. The only way you could survive is if you got nicked sniping and quickly… Expand",analysis
" Just got the game. There's no doubt in my mind that I have just played the best 2 hours of ""war-genre"" FPS ever! Haven't tried the multiplayer mode but I hear it's not that good. Regardless, the single-player missions are phenomenal. Great interactions between characters, great missions, and nice graphics. Fun! Fun! Fun! Okay I know war sucks but hey it's just a game.… Expand",analysis
" Singleplayer campaigns are great, but multiplayer doesn't give the kicks United Offensive gave. Seems like developers focused on xbox too much and forgot all the good features of UO",reaction
" On it's own this game would be something decent. However, to all of us original COD fans this game is quite a let down. I was anticipating this game for months, thinking that it would have the same awesome gameplay, that the original did, but with better graphics. Well, the graphics are only slightly better, but they really messed up the gameplay with things like grenade warnings,… Expand",analysis
" No Base Assault in MP, shame shame shame! Many may not like it, but many do, and TDM get's boring quickly.",reaction
 What a disappointment. Waited many months for this sequel but it is a major step back from Infinity Ward. Mutliplayer is crap.,reaction
 The most intense video game I have ever played.,reaction
 Even worse than the first one... another unrealistic arcade kids game.,reaction
 Great game.... Equal to CS(:S),reaction
" I can't beleive anybody is giving less then a 6 on this. The graphics are great, the gameplay is fun, and different every time. The only ways it's not realistic is if you're a pansy and you play on anything but veteran. How do you know the recoil is wrong? Maybe the guns back then actually shot that way. It's not like technology was at it's best. The missions are… Expand",analysis
 … Expand,reaction
" this game has the best single player of any game that i have played, except for halflife 2, and multiplayer is insane!! why didn't you rate it higher",reaction
" have a p4-2.8, 2gig ram and a 6600gt and this game runs great - if you use the games idea of what you're system can handle you will get 640 resolutions and low quality everything...bump it up!",reaction
" This is the same game we've played for the last 6 years. The same WWII setting. The same ripoffs of melodramatic WWII movie scenes. The same super-linear levels. It seems like there are so many more compelling aspects of war that can be explored - the strategy, relationships between battles, ect... I never once felt attached to my comrades in this game. They just felt like the same… Expand",hot_take
" The Mixed Reviews Coming from this Title is Understandable, Everyone expected a new type of gameplay but instead got exactly the same game with a prettier package and new Maps. I Really would have given this game a 10 if it had been less linear, but having the same linear gameplay mostly is really unforgivable. There are areas where you have multiple objectives that you can do in any… Expand",analysis
" Online play kicks so much ass and the single player is better.russia,england and america are great to play as in one single game. the guns and missions rock.",reaction
" This is an almost perfect game, as it throws in everything you would ever want from any WW2 game ever, and it is a triumph over the World War 2 genre in general. It has the best levels I've ever seen, and some of the greatest graphics and execution in a first person shooter I've ever seen. The only thing I found lacking was a few features in the first 2 COD games, such as… Expand",analysis
" The best of call of duty,this is the best one in my opinion,had a good story,great multiplayer and a friendly quiet community not some bloody messed up game built around the presitge system for try hards.",reaction
 And surprisingly the graphics still hold up quite well today. I'll even go ahead and say this game has better textures than most modern games.,reaction
 Why People Want Modern Warfare? COD 2 İs Best COD Game And World War II İs Better Than World War III. Atmosphere is incredible.I Dont Understand Why People Hate WW2 Games?,reaction
 This game has quick hitting action with the ultimate game experience,reaction
" Anyway, it is a very good game, compared to the other CoDs.",reaction
 … Expand,reaction
" Call of Duty 2 is the best shooter game that I have played. Why? One of the most fun and addicting campaigns ever. The levels are challenging and many times take multiple tries, but challenging games are fun. The campaign is fairly lengthy and is divided into three great sections (Russian, British, USA).The levels provide intense action, especially Pointe-du-Hoc, which is arguably, the… Expand",analysis
" The last great bastion of the Call of Duty series. Everything that has come since, with the exception of CoD 4: Modern Warfare, has been a carbon copy of its predecessor. The story, feel, and execution of this game in both campaign and multiplayer is solid and engaging. I look back fondly on it.",reaction
 Great single player. An even greater multiplayer. Limitless hours of fun to be had here. There weren't any expansion packs for this game which was really a pity. But the online community has provided plenty of mods and new gametypes/modes for you to play. There were realistic mod servers where you had 1 life the entire round....it was very intense. There were zombie mod servers that were… Expand,analysis
 … Expand,reaction
 Overall : 8,reaction
" Continuation of the first game, Call of Duty, comes with many bonuses and many improvements over first. It is one of the best games played. Honestly, not missing anything.",reaction
 10/10 buy it now!,reaction
 … Expand,reaction
" After playing CoD2 i was stunned. Just a awesome game! After i watched Band of Brothers i found so many similarities, that i was a bit shocked of cod. but overall its a wonderful game with great atmosphere! its simple and easy to learn. love it.",analysis
" This is a great game. I would recommend this game for people who are interested in world war 2 and people who are mostly involved in first person shooters. Despite this an old game, it is still fun to play. Don't listen to people that ""the graphics suck"", this is a game made in 2005 and these people who made fun of Call of Duty 2 don't know what they're talking about. It is also a good… Expand",analysis
" I think is one of the best call of duty i ever played. The campaign is great and the multiplayer, not bad. The Graphics are so good for this year. Most games not have this graphics in 2007 (until Crysis). No doubt, one of the best games i ever played.",analysis
 Игра шедевр. Все допилено. Впервые появилось новый режим хп. Играть интересно и приятно. Кампания СССР и Британия самые лучшие. Кампания США стала интересней. Графика просто улет. Все на высшем уровне. Не было клюквы. Было интересно косить фашиков в зимнем Сталинграде.,analysis
 The greatest Call of Duty game ever made in my opinion. The graphics and gameplay are mush more polished than that in COD1. The Russian missions are the best levels that Call of Duty franchise has ever created.,reaction
" Call of Duty 2. Back on the battlefield. Even more dynamic and even more interesting, and all this is Call of Duty 2. In the sequel, the cinematography of this series of games already begins. This is no longer just a shooter like Medal of Honor, but this is already a small movie in which you are directly involved.",analysis
" The Call of Duty 2 is awsome game. I love the World War 2 games, and this game the favorite COD and the COD 1, COD UO. But the price too higher because, its 2005 game..",reaction
" It is the beginning of the great series CoD. The game has good action, graphic, atmosphere",reaction
" Call of Duty 2 is a gem from my childhood. It has a bit short, but still a great single-player campaign and an all-time classic multiplayer. I would say one of the best, if not the best CoD game on the market.",analysis
" Um dos melhores FPS de segunda guerra mundial do call of duty, campanha excelente",reaction
 This is my all time favorite Call of Duty game.On second place is cod 4 but this one is the best.Back hen i used to replay all the missions from either the soviets the british or the americans and also the mods for this game are also awesome.I just hope that they make a good ww2 game except cod ww2 that is just meh.,analysis
 … Expand,reaction
 Beast of multi-players. Played hundred of hours with my friends in high school.,reaction
 Игра отлична. Хорошие если не идеальное продолжение игры. Хороший геймплей. Игра не долгая и не короткая. Предпоследняя игра про вторую мировую на PC.,analysis
" The next part is no worse than its first, but I’ll put it 1 point lower rating because the game generally did not give new impressions. Just a quality and interesting continuation.",reaction
" A great game based on WWII. This sequel improved every aspect of the previous game. The action and the plot go very well together, and the gamplay feels more polished. The D-Day is one of the best sequences of the game. One of the best CoD.",analysis
 One more of my favorite games. This is also the favorite game of my childhood. And the best COF.,reaction
 En iyi COD muhtemelen bu daha iyisi gelmez diye düşünüyorum................,reaction
 … Expand,reaction
" Ok campaign, unfortunately restricted to the allied perspective. Rifles are extremely overpowered.",reaction
" Great game , awesome in multiplayer , single player keep you on edge smooth gameplay wild sound effects definitely not a game for the weak hearted.",reaction
 .....................................,reaction
 The best Call of Duty and WWII game of its time. I really loved this game. A true gem...,reaction
 MP still lives to this date !,reaction
 … Expand,reaction
" Долгожданное продолжение хита, все в лучшем виде, 10/10 игра шедевр",reaction
" Да, они убрали аптечки и это сильно изменило геймплей. Жаль, что последующие части не сильно менялись в геймплее. Разве что, бег появится.",reaction
 good immersive game but pretty repetitive and drags a lot. also some of the setting look really cool,reaction
 Отличный шутер в сеттинге второй мировой войны.,reaction
 Made a lot of memories with this one!! i recommend everyone to give it a try :),reaction
" The best Call Of Duty and World War 2 game that I've ever played! Very immersive game, the sound is loud and realistic. A long game, if compared with its predecessors. I recommend this game for all the fans of first person shooters, especially for those of the WW2.",reaction
 _Good game _,reaction
 … Expand,reaction
" İlk oyunun ruhunu devam ettiren, teknik olarak bazı iyileştirmeler yapan, zamanının oyunu.",reaction
" [PT-BR] Incrível, na minha opinião é um dos melhores COD baseado na segunda guerra mundial já produzido, Gráficos excelentes para a época, movimentos, veículos e armas tudo perfeito, recomendo demais, um clássico Incrível, só não dou 10 pq gostei mais do primeiro, mas esse é ótimo também.",reaction
 … Expand,reaction
 karlı bölüm var hala oynanabilecek kalitede bir oyun akıllarda yıllar geçse de kalır.,reaction
 Birçok FPS oyunu arasında oyuncuya sunduğu aksiyonlu deneyim ile başarısını ortaya koyan ayrıca II. Dünya Savaşını merak eden tüm oyuncular için kesinlikle deneyimlenmesi gereken kaliteli bir oyun.,reaction
" a complete war game, good stories, appropriate backgrounds and good multiplayer game included with native and custom mods and maps created by community",reaction
 uzkfvghlzflucdöivchkö.fvciö.hhhhöik.voik o kg okg boöf gf tse r w op poz xrgt,reaction
 5/10. The weapons feel inaccurate. Tons of muzzle flash and visual recoil. The weapons feel inaccurate. Lots of flinch. There is an insane amount of visual recoil. The weapons feel terrible to use. Getting flinch locked is a common occurrence. There is a lot of screenshake. The game makes me angry and slam my desk.,analysis
" Good game, good graphics, good story, but previous Call of Duty is much better.",reaction
" A legend, one of best action fps games of its time. Excitement game play and story.",reaction
 But I don't like ww2 shooters.,reaction
 … Expand,reaction
" This game is the best World War II game ever. From the atmosphere to the hitting feeling, everything is at the highest level. A novelty in the gaming world Call of Duty 2",reaction
" Bardzo denerwuję mnie problem tzw. ""niedobitych Niemców""",reaction
 I LOVE WW2 FPS games and this is one of the best to ever be made. A true classic that doesn't get enough praise.,reaction
 My final rate is: 9,reaction
" Поиграл полчаса. Геймплейно эта игра - тупой тир, не представляющий из себя ничего особенного, ведь она устарела. Но я могу очень хорошо похвалить разрабов за то, что сделали шутер про 2 мировую, где герои - русские. а не американцы, которые не ввели почти никакого вклада. Особенно это удивительно видеть на фоне современной activision, которая делает игры, в которых русские - плохие. Эта… Expand",analysis
 As of 2021 it is still the best WW2 game (both single and multiplayer). Yeah I'm looking at you Vanguard.,reaction
" It is one of the best war games. If you want to try war games that take place in the Second World War, I advise you to try this game",reaction
" Transition from the boomer COD's to modern COD's (and this experement was successful). The graphics and effects still pleasing to the eye, directing is way better and much bigger than in the first game. Health regeneration mechanics makes gameplay more comfortable and enjoyable (don't need to look for those first aid kit anymore and save scumming). But Call of duty 2 doesn't become a… Expand",analysis
 Blowing up panzers....... check,reaction
" Incredible revolutianary FPS shooter, great story, incredible gameplay, decent graphics. What more can you want? This game is like call of duty 1 but improved in every field possbile. More gameplay, easier difficulty, difficulty modes, better story, better graphics. Activision really nailed this one cause it`s one of the best games I`ve ever played.",analysis
 I played few times ı was stuck but i allways enjoyed this game you should play.,reaction
 Даже примерно не могу себе представить сколько времени Я провёл в этой игре на этой войне мне уже должны как ветерану дать льготную ипотеку,reaction
" This game had to be a historical heritage :) it and nothing less than COD 1 with more beautiful graphics, more detailed and new maps",reaction
 Est-ce normal? Je suis sur Windows 11,reaction
 est MP experience i have had in years. I have a feeling i will be playing this game for a veryest MP experience i have had in years. I have a feeling i will be playing this game for a veryest MP experience i have had in years. I have a feeling i will be playing this game for a veryest MP experience i have had in years. I have a feeling i will be playing this game for a veryest MP… Expand,analysis
 1 часть была прорывом но разрабы решили сделать сиквел просто такой же и плюс с дымовой гранатой. Из минусов это сюжет сделали бы норм уровни некоторые просто выбешивали. 7 больше не могу дать,reaction
" This review contains spoilers, click expand to view. … Expand",reaction
" Call of duty 2 was a significant jump from the first. The story is exceptional and the gameplay is also much better than before. While call of duty 1 is no longer satisfying for the gaming industry, this game still has a secure place in it. The graphics were decent for the time but may put off gamers under the age of 14.",analysis
 Technical 6/10,reaction
 … Expand,reaction
 Legendary. You couldn't find anything better on WW2 back in the day. Must admit it's still a bit playable in 2020s.,reaction
 Я делаю оценку для себя и будут тут игры которые я прошел,reaction
" This game is very iconic. The first FPS I finished when I was 10. The game is not much different from the first game, it's still a WWII game, but it has a better campaign and I feel nostalgic for it.",reaction
 a good game not as good as the frist one but still good the multiplayer in cod 2 is better than the one in the first game thought,reaction
 ,reaction
 --------------------------------------------------------------------------------,reaction
" Та самая Call of Duty, которая для многих стала точкой входа в серию. Лично я прошел ее в более-менее сознательном возрасте, так что могу в целом составить о ней свое мнение. Один из лучших шутеров на момент выхода. Эффектные миссии в интересном антураже, кампании на разных фронтах, графика - все, что привело игру к успеху. И все это я оценил. Но то, с чем ты сталкиваешься, ставя сложность… Expand",analysis
 I don't understand how they make such a good game in 2005 best world war game ever,reaction
 This game and especially the multiplayer gave me endless hours of enjoyment. Can't say enough good things!!,reaction
" COD sequel improves upon its predecessor with larger battles, better AI, and a gripping campaign. A must-play for WWII FPS fans.",reaction
" The First great Shooter for the Xbox 360? You bet your whole 120 million dollar mansion it is. Not only that, but out of all the games in the Call Of Duty Franchise, this is the best. No, that's underestimating it. It is the ULTIMATE Call Of Duty Game to have. It is Infinity Ward's Masterpiece. Call of Duty 2, best played on the 360, is a testament to the modern day First Person Shooter.… Expand",analysis
 … Expand,reaction
" The best World War II game for console by far. I have played a lot of games since COD2 and none have even come close. Nothing was as fun as online play! Always has been, always will be, the BEST Xbox 360 game I have ever played",reaction
" This was a great game, in my opinion i think it was better than call of duty 3. I say it has descent graphics for Xbox360. It is also pretty challenging on veteran.(well duh!!!) Good FPS game i recommend all fans of shooter games gets themselves a copy!",analysis
" Quite possibly the best WW2 game of all time. it excels in every way in the single player, but a lack of online player support lets it down and it just falls short of the 10 mark from me. Go online today and you will still find a few players on there. Graphically this game is ace, it has stood the test of time well and is still a visual treat in my opinion. A must buy!",analysis
" For a FPS that was made in 2005 this holds up extremely well, the campaign is epic and one of the best in the series, and the graphics look great for a game that came out in 2005, and the sound design is still top notch and fantastic, and if you've played a recent Call of Duty game you'll have no problem playing this as the controls are identical, the only thing different from this and… Expand",analysis
 This is my favorite shooter ever. Great play and feel. Perfects controls. Completely balanced. Good graphics for it's time. THIS is the game that started the COD franchise. Single player was definitely fun and made me feel like I was in a war. It was excitement and full of emotion. Multiplayer was the best multiplayer experience I've ever had on a game. No BS perks and killstreaks like the… Expand,analysis
